20230806042047: Script
20230806045909: Check =0

20230806045909:  was not Matched
20230806045955: Check =0

20230806045955:  was not Matched
20230806050005: Check =0

20230806050005:  was not Matched
20230806050013: Check =1

20230806050013:  was Matched
20230806050021: Check =0

20230806050021:  was not Matched
20230806050027: Check =0

20230806050027:  was not Matched
20230806050032: Check =0

20230806050032:  was not Matched
20230806050039: Check =0

20230806050039:  was not Matched
20230806050047: Check =0

20230806050047:  was not Matched
20230806050052: Check =0

20230806050052:  was not Matched
20230806050058: Check =0

20230806050058:  was not Matched
20230806050103: Check =0

20230806050103:  was not Matched
20230806050108: Check =0

20230806050108:  was not Matched
20230806050114: Check =0

20230806050114:  was not Matched
20230806050119: Check =0

20230806050119:  was not Matched
20230806050125: Check =0

20230806050125:  was not Matched
20230806050133: Check =0

20230806050133:  was not Matched
20230806050139: Check =0

20230806050139:  was not Matched
20230806050145: Check =0

20230806050145:  was not Matched
20230806050149: Check =0

20230806050149:  was not Matched
20230806050155: Check =0

20230806050155:  was not Matched
20230806050200: Check =0

20230806050200:  was not Matched
20230806050206: Check =0

20230806050206:  was not Matched
20230806050212: Check =0

20230806050212:  was not Matched
20230806050218: Check =0

20230806050218:  was not Matched
20230806050224: Check =0

20230806050224:  was not Matched
20230806050230: Check =0

20230806050230:  was not Matched
20230806050235: Check =0

20230806050235:  was not Matched
20230806050239: Check =0

20230806050239:  was not Matched
20230806050245: Check =0

20230806050245:  was not Matched
20230806050252: Check =Get-FileHash : The file 'C:\Users\Living Room\Desktop\LiF Parser\LiF\whitelist\Tabard_0d0c032b0103032b030203000.dds' 
cannot be read: Could not find file 'C:\Users\Living Room\Desktop\LiF 
Parser\LiF\whitelist\Tabard_0d0c032b0103032b030203000.dds'.
At C:\Users\Living Room\Desktop\Lif Parser\lif\compare.ps1:4 char:10
+ $hash1 = Get-FileHash -Path $file1 -Algorithm MD5
+          ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ReadError: (C:\Users\Living...2b030203000.dds:PSObject) [Write-Error], WriteErrorExcepti 
   on
    + FullyQualifiedErrorId : FileReadError,Get-FileHash
 
0

20230806050252:  was Matched
20230806050321: Check =Resolve-Path : Cannot find path 'C:\Games\Life is Feudal 
MMO\default\game\game\eu\art\Textures\Heraldry\Cache\Standard_06090f0405010d05030101000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Games\Life i...05030101000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050321:  was Matched
20230806050338: Check =Resolve-Path : Cannot find path 'C:\Games\Life is Feudal 
MMO\default\game\game\eu\art\Textures\Heraldry\Cache\Standard_06090f0405010d0603010d000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Games\Life i...0603010d000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050338:  was Matched
20230806050353: Check =Resolve-Path : Cannot find path 'C:\Games\Life is Feudal 
MMO\default\game\game\eu\art\Textures\Heraldry\Cache\Standard_06090f0405010d0b030101000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Games\Life i...0b030101000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050353:  was Matched
20230806050409: Check =Resolve-Path : Cannot find path 'C:\Games\Life is Feudal 
MMO\default\game\game\eu\art\Textures\Heraldry\Cache\Standard_060e052705030100000000000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Games\Life i...00000000000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050409:  was Matched
20230806050430: Check =Resolve-Path : Cannot find path 'C:\Games\Life is Feudal 
MMO\default\game\game\eu\art\Textures\Heraldry\Cache\Standard_0d0c032b0103032b030203000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Games\Life i...2b030203000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050430:  was Matched
20230806050450: Check =Resolve-Path : Cannot find path 'C:\Games\Life is Feudal 
MMO\default\game\game\eu\art\Textures\Heraldry\Cache\Tabard_010c104005030300000000000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Games\Life i...00000000000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050450:  was Matched
20230806050536: Check =0

20230806050536:  was not Matched
20230806050547: Check =0

20230806050547:  was not Matched
20230806050556: Check =0

20230806050556:  was not Matched
20230806050605: Check =0

20230806050605:  was not Matched
20230806050613: Check =0

20230806050613:  was not Matched
20230806050620: Check =0

20230806050620:  was not Matched
20230806050628: Check =0

20230806050628:  was not Matched
20230806050634: Check =0

20230806050634:  was not Matched
20230806050641: Check =0

20230806050641:  was not Matched
20230806050648: Check =0

20230806050648:  was not Matched
20230806050656: Check =0

20230806050656:  was not Matched
20230806050703: Check =0

20230806050703:  was not Matched
20230806050712: Check =0

20230806050712:  was not Matched
20230806050720: Check =0

20230806050720:  was not Matched
20230806050727: Check =0

20230806050727:  was not Matched
20230806050736: Check =0

20230806050736:  was not Matched
20230806050745: Check =0

20230806050745:  was not Matched
20230806050755: Check =0

20230806050755:  was not Matched
20230806050807: Check =0

20230806050807:  was not Matched
20230806050822: Check =0

20230806050822:  was not Matched
20230806050838: Check =Resolve-Path : Cannot find path 'C:\Users\Living Room\Desktop\LiF 
Parser\LiF\whitelist\Tabard_060d053805030100000000000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Users\Living...00000000000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050838:  was Matched
20230806050902: Check =Resolve-Path : Cannot find path 'C:\Games\Life is Feudal 
MMO\default\game\game\eu\art\Textures\Heraldry\Cache\Tabard_06090f0405010d0203010d000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Games\Life i...0203010d000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050902:  was Matched
20230806050927: Check =Resolve-Path : Cannot find path 'C:\Games\Life is Feudal 
MMO\default\game\game\eu\art\Textures\Heraldry\Cache\Tabard_06090f0405010d05030101000.dds' because it does not exist.
At 
C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1:110 
char:36
+                 $pathsToProcess += Resolve-Path $Path | Foreach-Objec ...
+                                    ~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : ObjectNotFound: (C:\Games\Life i...05030101000.dds:String) [Resolve-Path], ItemNotFoundE 
   xception
    + FullyQualifiedErrorId : PathNotFound,Microsoft.PowerShell.Commands.ResolvePathCommand
 
0

20230806050927:  was Matched
20230806050944: Script
20230806050955: Check =1

20230806050955:  was Matched
20230806051001: Check =0

20230806051001:  was not Matched
20230806051008: Check =1

20230806051008:  was Matched
20230806051014: Check =0

20230806051014:  was not Matched
20230806051019: Check =0

20230806051019:  was not Matched
20230806051024: Check =1

20230806051024:  was Matched
20230806051028: Check =0

20230806051028:  was not Matched
20230806051034: Check =0

20230806051034:  was not Matched
20230806051039: Check =0

20230806051039:  was not Matched
20230806051045: Check =0

20230806051045:  was not Matched
20230806051050: Check =0

20230806051050:  was not Matched
20230806051056: Check =0

20230806051056:  was not Matched
20230806051113: Check =0

20230806051113:  was not Matched
20230806051119: Check =0

20230806051119:  was not Matched
20230806051124: Check =0

20230806051124:  was not Matched
20230806051128: Check =1

20230806051128:  was Matched
20230806051133: Check =0

20230806051133:  was not Matched
20230806051139: Check =0

20230806051139:  was not Matched
20230806051146: Check =0

20230806051146:  was not Matched
20230806051153: Check =0

20230806051153:  was not Matched
20230806051159: Check =1

20230806051159:  was Matched
20230806051205: Check =0

20230806051205:  was not Matched
20230806051211: Check =0

20230806051211:  was not Matched
20230806051217: Check =0

20230806051217:  was not Matched
20230806051226: Check =0

20230806051226:  was not Matched
20230806051233: Check =0

20230806051233:  was not Matched
20230806051240: Check =1

20230806051240:  was Matched
20230806051248: Check =0

20230806051248:  was not Matched
20230806051256: Check =0

20230806051256:  was not Matched
20230806051304: Check =0

20230806051304:  was not Matched
20230806051314: Check =0

20230806051314:  was not Matched
20230806051323: Check =0

20230806051323:  was not Matched
20230806051333: Check =0

20230806051333:  was not Matched
20230807032719: Script
20230807032731: Check =0

20230807032731:  was not Matched
20230807032736: Check =1

20230807032736:  was Matched
20230807032742: Check =0

20230807032742:  was not Matched
20230807032746: Check =0

20230807032746:  was not Matched
20230807032752: Check =0

20230807032752:  was not Matched
20230807032800: Check =1

20230807032800:  was Matched
20230807032809: Check =0

20230807032809:  was not Matched
20230807032819: Check =0

20230807032819:  was not Matched
20230807032828: Check =0

20230807032828:  was not Matched
20230807032838: Check =0

20230807032838:  was not Matched
20230807032847: Check =1

20230807032847:  was Matched
20230807032855: Check =0

20230807032855:  was not Matched
20230807032902: Check =0

20230807032902:  was not Matched
20230807032909: Check =0

20230807032909:  was not Matched
20230807032915: Check =0

20230807032915:  was not Matched
20230807032921: Check =0

20230807032921:  was not Matched
20230807032929: Check =1

20230807032929:  was Matched
20230807032939: Check =0

20230807032939:  was not Matched
20230807032946: Check =0

20230807032946:  was not Matched
20230807032954: Check =0

20230807032954:  was not Matched
20230807032959: Check =0

20230807032959:  was not Matched
20230807033004: Check =0

20230807033004:  was not Matched
20230807033009: Check =0

20230807033009:  was not Matched
20230807033014: Check =1

20230807033014:  was Matched
20230807033019: Check =0

20230807033019:  was not Matched
20230807033023: Check =0

20230807033023:  was not Matched
20230807033028: Check =0

20230807033028:  was not Matched
20230807033033: Check =0

20230807033033:  was not Matched
20230807033037: Check =0

20230807033037:  was not Matched
20230807033043: Check =0

20230807033043:  was not Matched
20230807033049: Check =0

20230807033049:  was not Matched
20230807033054: Check =0

20230807033054:  was not Matched
20230807033058: Check =1

20230807033058:  was Matched
20230807033103: Check =0

20230807033103:  was not Matched
20230807033107: Check =0

20230807033107:  was not Matched
20230807033113: Check =0

20230807033113:  was not Matched
20230807033118: Check =0

20230807033118:  was not Matched
20230807033122: Check =0

20230807033122:  was not Matched
20230807033127: Check =0

20230807033127:  was not Matched
20230807033131: Check =0

20230807033131:  was not Matched
20230807033136: Check =0

20230807033136:  was not Matched
20230807033143: Check =0

20230807033143:  was not Matched
20230807033149: Check =0

20230807033149:  was not Matched
20230807033155: Check =1

20230807033155:  was Matched
20230807033200: Check =0

20230807033200:  was not Matched
20230807033205: Check =0

20230807033205:  was not Matched
20230807033210: Check =0

20230807033210:  was not Matched
20230807033215: Check =0

20230807033215:  was not Matched
20230807033219: Check =0

20230807033219:  was not Matched
20230807033222: Check =0

20230807033222:  was not Matched
20230807033226: Check =0

20230807033226:  was not Matched
20230807033230: Check =0

20230807033230:  was not Matched
20230807033235: Check =0

20230807033235:  was not Matched
20230807033239: Check =0

20230807033239:  was not Matched
20230807033244: Check =0

20230807033244:  was not Matched
20230807033249: Check =1

20230807033249:  was Matched
20230807033255: Check =0

20230807033255:  was not Matched
20230807033303: Check =0

20230807033303:  was not Matched
20230807033311: Check =0

20230807033311:  was not Matched
20230807033315: Check =0

20230807033315:  was not Matched
20230807033320: Check =0

20230807033320:  was not Matched
20230807033326: Check =0

20230807033326:  was not Matched
20230807033331: Check =0

20230807033331:  was not Matched
20230807033336: Check =0

20230807033336:  was not Matched
20230807033342: Check =0

20230807033342:  was not Matched
20230807033347: Check =0

20230807033347:  was not Matched
20230807033354: Check =0

20230807033354:  was not Matched
20230807033359: Check =0

20230807033359:  was not Matched
20230807033404: Check =1

20230807033404:  was Matched
20230807033409: Check =0

20230807033409:  was not Matched
20230807033416: Check =0

20230807033416:  was not Matched
20230807033422: Check =0

20230807033422:  was not Matched
20230807033428: Check =0

20230807033428:  was not Matched
20230807033436: Check =0

20230807033436:  was not Matched
20230807033445: Check =0

20230807033445:  was not Matched
20230807033453: Check =0

20230807033453:  was not Matched
20230807033459: Check =0

20230807033459:  was not Matched
20230807033504: Check =0

20230807033504:  was not Matched
20230807033510: Check =0

20230807033510:  was not Matched
20230807033516: Check =0

20230807033516:  was not Matched
20230807033522: Check =0

20230807033522:  was not Matched
20230807033528: Check =0

20230807033528:  was not Matched
20230807033533: Check =1

20230807033533:  was Matched
20230807033542: Check =0

20230807033542:  was not Matched
20230807033549: Check =1

20230807033549:  was Matched
20230807033559: Check =0

20230807033559:  was not Matched
20230807033607: Check =0

20230807033607:  was not Matched
20230807033614: Check =0

20230807033614:  was not Matched
20230807033620: Check =1

20230807033620:  was Matched
20230807033627: Check =0

20230807033627:  was not Matched
20230807033636: Check =0

20230807033636:  was not Matched
20230807033647: Check =0

20230807033647:  was not Matched
20230807033658: Check =0

20230807033658:  was not Matched
20230807033709: Check =1

20230807033709:  was Matched
20230807033723: Check =0

20230807033723:  was not Matched
20230807033734: Check =0

20230807033734:  was not Matched
20230807033740: Check =0

20230807033740:  was not Matched
20230807033747: Check =0

20230807033747:  was not Matched
20230807033753: Check =0

20230807033753:  was not Matched
20230807033759: Check =1

20230807033759:  was Matched
20230807033804: Check =0

20230807033804:  was not Matched
20230807033810: Check =0

20230807033810:  was not Matched
20230807033815: Check =0

20230807033815:  was not Matched
20230807033820: Check =0

20230807033820:  was not Matched
20230807033827: Check =0

20230807033827:  was not Matched
20230807033832: Check =0

20230807033832:  was not Matched
20230807033838: Check =1

20230807033838:  was Matched
20230807033843: Check =0

20230807033843:  was not Matched
20230807033850: Check =0

20230807033850:  was not Matched
20230807033901: Check =0

20230807033901:  was not Matched
20230807033914: Check =0

20230807033914:  was not Matched
20230807033923: Check =0

20230807033923:  was not Matched
20230807033932: Check =0

20230807033932:  was not Matched
20230807033940: Check =0

20230807033940:  was not Matched
20230807033947: Check =0

20230807033947:  was not Matched
20230807033955: Check =1

20230807033955:  was Matched
20230807034002: Check =0

20230807034002:  was not Matched
20230807034008: Check =0

20230807034008:  was not Matched
20230807034013: Check =0

20230807034013:  was not Matched
20230807034018: Check =0

20230807034018:  was not Matched
20230807034023: Check =0

20230807034023:  was not Matched
20230807034028: Check =0

20230807034028:  was not Matched
20230807034033: Check =0

20230807034033:  was not Matched
20230807034038: Check =0

20230807034038:  was not Matched
20230807034044: Check =0

20230807034044:  was not Matched
20230807034051: Check =0

20230807034051:  was not Matched
20230807034057: Check =1

20230807034057:  was Matched
20230807034103: Check =0

20230807034103:  was not Matched
20230807034108: Check =0

20230807034108:  was not Matched
20230807034112: Check =0

20230807034112:  was not Matched
20230807034117: Check =0

20230807034117:  was not Matched
20230807034123: Check =0

20230807034123:  was not Matched
20230807034129: Check =0

20230807034129:  was not Matched
20230807034136: Check =0

20230807034136:  was not Matched
20230807034142: Check =0

20230807034142:  was not Matched
20230807034148: Check =0

20230807034148:  was not Matched
20230807034155: Check =0

20230807034155:  was not Matched
20230807034200: Check =0

20230807034200:  was not Matched
20230807034207: Check =1

20230807034207:  was Matched
20230807034213: Check =0

20230807034213:  was not Matched
20230807034219: Check =0

20230807034219:  was not Matched
20230807034225: Check =0

20230807034225:  was not Matched
20230807034231: Check =0

20230807034231:  was not Matched
20230807034236: Check =0

20230807034236:  was not Matched
20230807034242: Check =0

20230807034242:  was not Matched
20230807034252: Check =0

20230807034252:  was not Matched
20230807034303: Check =0

20230807034303:  was not Matched
20230807034311: Check =0

20230807034311:  was not Matched
20230807034319: Check =0

20230807034319:  was not Matched
20230807034327: Check =0

20230807034327:  was not Matched
20230807034337: Check =0

20230807034337:  was not Matched
20230807034347: Check =1

20230807034347:  was Matched
20230807034356: Check =0

20230807034356:  was not Matched
20230807034406: Check =0

20230807034406:  was not Matched
20230807034416: Check =0

20230807034416:  was not Matched
20230807034423: Check =0

20230807034423:  was not Matched
20230807034429: Check =0

20230807034429:  was not Matched
20230807034436: Check =0

20230807034436:  was not Matched
20230807034441: Check =0

20230807034441:  was not Matched
20230807034447: Check =0

20230807034447:  was not Matched
20230807034452: Check =0

20230807034452:  was not Matched
20230807034459: Check =0

20230807034459:  was not Matched
20230807034505: Check =0

20230807034505:  was not Matched
20230807034511: Check =0

20230807034511:  was not Matched
20230807034517: Check =0

20230807034517:  was not Matched
20230807034523: Check =1

20230807034523:  was Matched
20230807034530: Check =0

20230807034530:  was not Matched
20230807034536: Check =1

20230807034536:  was Matched
20230807034542: Check =0

20230807034542:  was not Matched
20230807034548: Check =0

20230807034548:  was not Matched
20230807034554: Check =0

20230807034554:  was not Matched
20230807034559: Check =1

20230807034559:  was Matched
20230807034604: Check =0

20230807034604:  was not Matched
20230807034609: Check =0

20230807034609:  was not Matched
20230807034614: Check =0

20230807034614:  was not Matched
20230807034619: Check =0

20230807034619:  was not Matched
20230807034625: Check =0

20230807034625:  was not Matched
20230807034631: Check =0

20230807034631:  was not Matched
20230807034636: Check =0

